1747953047.198715,10.72,92,3.09,20.77,21.07,No action needed
1747953524.706657,10.39,91,3.6,20.55,21.04,No action needed
1747953825.7371001,10.35,91,3.6,20.53,21.04,No action needed
1747954738.124393,10.35,91,3.6,20.53,21.04,No action needed
1747955039.190763,10.35,91,3.6,20.53,21.04,No action needed
1747955339.394439,10.19,91,2.57,20.68,21.02,No action needed
1747955639.481448,10.35,91,3.6,20.53,21.04,No action needed
1747955939.574851,10.19,91,2.57,20.68,21.02,No action needed
1747996406.707148,13.49,57,4.63,21.45,21.35,No action needed
1747996468.750559,13.49,57,4.63,21.45,21.35,No action needed
1747996528.864473,13.49,57,4.63,21.45,21.35,No action needed
1747996588.9624,13.49,57,4.63,21.45,21.35,No action needed
1747996649.0550568,13.92,55,3.6,21.81,21.39,No action needed
1747996709.1360881,13.92,55,3.6,21.81,21.39,No action needed
1747996769.23581,13.92,55,3.6,21.81,21.39,No action needed
1747996829.3295581,14.49,54,3.6,22.01,21.45,No action needed
1747996889.4233532,13.93,55,3,21.93,21.39,No action needed
1747996949.508663,14.55,54,3.6,22.03,21.45,No action needed
1747997009.6044009,14.55,54,3.6,22.03,21.45,No action needed
1747997069.693078,14.55,54,3.6,22.03,21.45,No action needed
1747997129.8076952,14.55,54,3.6,22.03,21.45,No action needed
1747997189.9407082,13.92,55,3.6,21.81,21.39,No action needed
1747997250.0243819,13.92,55,3.6,21.81,21.39,No action needed
1747997310.125228,13.92,55,3.6,21.81,21.39,No action needed
1747997310.125228,13.92,55,3.6,21.81,21.39,No action needed
1747997630.066658,14.62,54,3.6,22.06,21.46,No action needed
1747997690.151428,14.62,54,3.6,22.06,21.46,No action needed
1747997750.237511,14.62,54,3.6,22.06,21.46,No action needed
1747997810.343415,14.62,54,3.6,22.06,21.46,No action needed
1747998148.476953,14.65,54,3.6,22.07,21.46,No action needed
1747998859.4167192,14.67,53,3.6,22.07,21.47,No action needed
1747998919.521714,14.67,53,3.6,22.07,21.47,No action needed
1747998979.6552691,14.67,53,3.6,22.07,21.47,No action needed
1747999039.750742,14.67,53,3.6,22.07,21.47,No action needed
1747999099.8463092,14.67,53,3.6,22.07,21.47,No action needed
1747999159.961754,14.67,53,3.6,22.07,21.47,No action needed
1747999220.063403,14.67,53,3.6,22.07,21.47,No action needed
1747999280.222156,14.93,53,0.45,22.79,21.49,Turn on cooling
1747999340.369761,14.67,53,3.6,22.07,21.47,No action needed
1747999739.717613,14.73,52,3.6,22.1,21.47,No action needed
1747999801.732621,14.73,52,3.6,22.1,21.47,No action needed
1747999861.807405,15.46,53,0.89,22.89,21.55,Turn on cooling
